
购入 2."爽滑挂面",单位 20.000000,总额 80.000000,时间 2023 7 6 17 5 21
售出 1."苹果",单位 2.000000,总额 30.000000,时间 2023 7 6 17 5 33
售出 3."无糖可乐",单位 12.000000,总额 72.000000,时间 2023 7 6 17 5 45
售出 2."爽滑挂面",单位 3.000000,总额 18.000000,时间 2023 7 6 17 6 1
退货 2."爽滑挂面",单位 3.000000,总额 18.000000,时间 2023 7 6 17 6 8
购入 2."爽滑挂面",单位 30.000000,总额 120.000000,时间 2023 7 7 22 30 13
购入 2."爽滑挂面",单位 20.000000,总额 80.000000,时间 2023 7 7 22 33 44
购入 2."爽滑挂面",单位 20.000000,总额 80.000000,时间 2023 7 8 18 59 12
售出 2."爽滑挂面",单位 2.000000,总额 12.000000,时间 2023 7 8 19 0 24
退货 2."爽滑挂面",单位 2.000000,总额 12.000000,时间 2023 7 8 19 2 33
